"Southwest Airlines Co."	[13.763128093164429, 17.643109549036932]
"Atlantic Southeast Airlines"	[15.769906831918066, 19.85462702171591]
"Frontier Airlines Inc."	[20.948445550222377, 24.992062618345148]
"Hawaiian Airlines Inc."	[8.413415145794, 10.153844136773651]
"American Eagle Airlines Inc."	[15.921264492655245, 21.648710934318064]
"Spirit Air Lines"	[21.525886231779108, 25.20880225594016]
"Skywest Airlines Inc."	[15.18622323673033, 18.795719576512738]
"United Air Lines Inc."	[18.17415938401041, 22.969130715519764]
"US Airways Inc."	[11.92579825378054, 17.430123543768715]
"Virgin America"	[13.929211831413664, 19.315655137877002]
"JetBlue Airways"	[17.420145442017915, 22.57669033282406]
"Delta Air Lines Inc."	[11.809725293732825, 18.187487797999957]
"American Airlines Inc."	[14.510238517653281, 20.33545642879182]
"Alaska Airlines Inc."	[11.375084772288591, 15.867140811843196]
